Using Scylla optimized driver!!!
Configuration
Nodes:				18.133.174.82,13.134.144.48,3.9.75.51
Datacenter:			AWS_EU_WEST_2
Mode:				write
Workload:			uniform
Timeout (default):		PT10S
Timeout (read):			PT10S
Timeout (write):		PT5S
Timeout (CAS):			PT2S
Consistency level:		quorum
Partition count:		10000
Clustering rows:		50
Clustering row size:		fixed:4
Rows per request:		40
Page size:			1000
Concurrency:			1200
Connections:			16
Maximum rate:			unlimited
Client compression:		true
Max error/row:			unlimited
Max errors total:		unlimited
Retries (number):		10
Retries (interval):		80ms,1s
Retry handler:			sb
Hdr memory consumption:	434995200 bytes
08:54:56.572 [s0-admin-0] WARN  c.d.o.d.i.c.c.CqlRequestHandler - Query '[0 values] CREATE KEYSPACE IF NOT EXISTS scylla_bench WITH REPLICATION = { 'class':'NetworkTopologyStrategy','replication_factor':1 }' generated server side warning(s): Using Replication Factor replication_factor=1 lower than the minimum_replication_factor_warn_threshold=3 is not recommended.
    time   ops/s  rows/s errors max      99.9th   99th     95th     90th     median   mean    
      5s     452   18105      0 3.11s    2.88s    1.97s    984.09ms 913.83ms 617.09ms 641.09ms
      6s     610   24433      0 2.50s    2.02s    1.41s    1.30s    1.20s    529.79ms 710.05ms
      7s     771   30855      0 1.63s    1.38s    1.22s    1.15s    1.09s    763.89ms 745.12ms
      9s     621   24879      0 1.66s    1.65s    1.52s    1.29s    1.18s    836.24ms 823.58ms
      9s     588   23532      0 1.66s    1.65s    1.41s    1.24s    1.20s    901.25ms 893.87ms
     10s     620   24826      0 1.85s    1.66s    1.36s    1.19s    1.10s    736.10ms 770.25ms
     10s     681   27275      0 1.71s    1.66s    1.51s    1.27s    1.08s    725.61ms 755.93ms
     11s     820   32808      0 1.13s    1.10s    1.03s    885.00ms 791.15ms 567.80ms 589.45ms
     11s     992   39708      0 966.79ms 912.79ms 842.01ms 791.15ms 749.73ms 524.81ms 544.22ms
     13s    1480   59208      0 1.13s    1.01s    788.53ms 651.17ms 589.30ms 469.76ms 470.95ms
     13s    1436   57475      0 1.45s    1.37s    1.22s    1.07s    993.53ms 618.14ms 633.41ms
     14s     779   31195      0 1.55s    1.53s    1.44s    1.37s    1.32s    1.02s    1.05s   
     15s     806   32240      0 1.39s    1.39s    1.31s    1.19s    1.14s    897.06ms 921.47ms
     15s    1444   57798      0 901.78ms 873.46ms 817.89ms 747.63ms 637.53ms 462.16ms 467.03ms
     16s    2036   81442      0 823.13ms 812.12ms 683.15ms 572.00ms 535.56ms 438.30ms 434.68ms
     17s    2921  116872      0 584.06ms 562.04ms 519.31ms 478.67ms 458.49ms 358.61ms 370.95ms
     18s    2841  113662      0 597.69ms 590.87ms 525.60ms 471.07ms 432.28ms 335.54ms 349.35ms
     19s    2842  113692      0 617.09ms 609.22ms 562.56ms 472.38ms 435.16ms 345.24ms 356.89ms
     20s    2741  109657      0 641.73ms 572.00ms 527.43ms 473.17ms 434.90ms 341.84ms 355.97ms
     21s    1821   72840      0 1.04s    1.04s    918.03ms 811.07ms 752.35ms 578.81ms 571.29ms
     23s    1129   45175      0 1.27s    1.25s    1.12s    1.01s    955.78ms 801.64ms 778.75ms
     24s     987   39480      0 1.25s    1.23s    1.19s    1.13s    1.11s    809.50ms 880.15ms
     24s    1163   46536      0 1.01s    999.82ms 986.71ms 962.07ms 879.76ms 630.19ms 651.10ms
     25s    2624  104983      0 854.59ms 816.32ms 684.20ms 499.38ms 456.39ms 362.55ms 375.72ms
     26s    1460   58436      0 1.15s    1.09s    995.62ms 951.58ms 900.73ms 666.89ms 697.04ms
     27s     987   39506      0 1.26s    1.22s    1.10s    1.06s    1.04s    776.47ms 805.97ms
     28s    1072   42917      0 1.19s    1.15s    1.12s    1.05s    1.01s    801.11ms 817.51ms
     29s     980   39238      0 1.17s    1.13s    1.07s    1.03s    1.01s    809.50ms 817.94ms
     30s    1047   41897      0 1.22s    1.17s    1.09s    995.10ms 969.93ms 807.93ms 789.65ms
     32s    1067   42712      0 1.20s    1.10s    1.05s    1.01s    987.76ms 740.29ms 768.02ms
     32s    1098   43923      0 1.15s    1.13s    1.05s    959.97ms 924.32ms 677.38ms 695.99ms
     33s    2898  115922      0 599.26ms 579.34ms 531.37ms 468.19ms 435.42ms 343.41ms 356.29ms
     34s    2854  114166      0 634.91ms 631.77ms 532.15ms 486.01ms 451.15ms 349.44ms 362.97ms
